,As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Patients Currently Hospitalized,Patients Newly Admitted,Patients Positive After Admission,Patients Discharged,Patients Currently in ICU,Patients Currently ICU Intubated,Patients Expired,Cumulative COVID-19 Discharges to Date,Cumulative COVID-19 Fatalities to Date,Total Staffed Beds,Total Staffed Beds Currently Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Available,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years,Hospitalized Indicator
0,3/26/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,16.0,2.0,4.0,0.0,7.0,4.0,0.0,0,0,484,109.0,82.0,16.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,2.0,1.0,0
1,3/26/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,185,53.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,3/26/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,8.0,3.0,3.0,0.0,2.0,2.0,1.0,2,1,573,182.0,36.0,12.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0
3,3/26/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,0.0,4.0,2.0,0.0,0.0,0.0,5,0,307,123.0,36.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0
4,3/26/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2,0,224,110.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5,3/26/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,4.0,2.0,0.0,0.0,3.0,3.0,0.0,0,1,166,78.0,15.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0
6,3/26/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,21,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,3/26/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,96,94.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
8,3/26/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,100.0,24.0,7.0,5.0,35.0,28.0,2.0,16,6,457,8.0,36.0,1.0,0.0,1.0,0.0,27.0,27.0,16.0,13.0,10.0,6.0,0
9,3/26/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,82.0,42.0,1.0,9.0,15.0,23.0,3.0,25,5,321,64.0,16.0,0.0,0.0,0.0,0.0,10.0,12.0,11.0,24.0,19.0,6.0,0
10,3/26/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,249.0,1.0,93.0,29.0,47.0,45.0,6.0,90,25,816,107.0,60.0,6.0,3.0,0.0,4.0,42.0,32.0,55.0,54.0,47.0,12.0,0
11,3/26/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,51.0,0.0,10.0,1.0,20.0,20.0,2.0,11,8,362,26.0,45.0,3.0,0.0,0.0,1.0,18.0,6.0,12.0,7.0,7.0,0.0,0
12,3/26/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,52.0,18.0,0.0,4.0,18.0,17.0,4.0,20,13,322,39.0,16.0,0.0,0.0,0.0,1.0,11.0,10.0,12.0,13.0,4.0,1.0,0
13,3/26/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,39.0,11.0,11.0,0.0,14.0,9.0,1.0,4,1,415,15.0,26.0,4.0,0.0,0.0,0.0,8.0,3.0,15.0,11.0,2.0,0.0,0
